accession_no,entity_name,cik,file_date,period_of_report,form_type,file_type_hint,source
0001564590-19-028159,"CBIZ, Inc.",0000944148,2019-08-02,2019-07-31,8-K,EX-99.2,EFTS
0000950170-23-053265,VOXX International Corp,0000807707,2023-10-13,2023-10-10,8-K,EX-99.2,EFTS
0001213900-22-027997,"LogicMark, Inc.",0001566826,2022-05-18,2022-05-12,8-K,EX-99.2,EFTS
0001213900-23-071015,"LogicMark, Inc.",0001566826,2023-08-28,2023-08-10,8-K,EX-99.2,EFTS
0001140361-21-029206,"ISUN, INC.",0001634447,2021-08-24,2021-08-19,8-K,EX-99.1,EFTS
0001437749-20-005432,OPTICAL CABLE CORP,0001000230,2020-03-17,2020-03-16,8-K,EX-99.2,EFTS
0001174947-23-000980,STURM RUGER & CO INC,0000095029,2023-08-04,2023-08-03,8-K,EX-99.1,EFTS
0001213900-23-087546,"LogicMark, Inc.",0001566826,2023-11-15,2023-11-09,8-K,EX-99.2,EFTS
0001564590-22-020831,VOXX International Corp,0000807707,2022-05-20,2022-05-16,8-K,EX-99.2,EFTS
0001213900-21-044029,"Nxt-ID, Inc.",0001566826,2021-08-20,2021-08-16,8-K,EX-99.1,EFTS
0001564590-19-039301,"CBIZ, Inc.",0000944148,2019-11-01,2019-10-30,8-K,EX-99.2,EFTS
0001213900-22-047471,"LogicMark, Inc.",0001566826,2022-08-12,2022-08-11,8-K,EX-99.2,EFTS
0001174947-23-000719,STURM RUGER & CO INC,0000095029,2023-05-05,2023-05-04,8-K,EX-99.1,EFTS
0001213900-19-021916,"SB FINANCIAL GROUP, INC.",0000767405,2019-11-04,2019-10-29,8-K,EX-99.1,EFTS
0001564590-19-009323,WORTHINGTON INDUSTRIES INC,0000108516,2019-03-26,2019-03-20,8-K,EX-99.1,EFTS
0001193125-22-188617,"Syros Pharmaceuticals, Inc.",0001556263,2022-07-06,2022-07-05,8-K,EX-99.1,EFTS
